Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
11-03-2020,7754.75,7779.1,7596.35,7623.05,36502334,2014.03
12-03-2020,7408.4,7423.95,6868.7,6942.55,52330391,2476.46
13-03-2020,6558.25,7469.7,6242.85,7268,51705471,2392.35
16-03-2020,7075.35,7406.05,6909.65,6959.35,47249630,2159.38
17-03-2020,7014.5,7289.65,6927.05,6979.1,40951602,2090.06
18-03-2020,7135.05,7145.4,6666.85,6705.75,44945057,2100.15
19-03-2020,6489.5,6871.4,6332,6655.5,35700672,1816.28
20-03-2020,6740.25,7088.15,6728.75,6951.9,50098202,2534.08
23-03-2020,6518,6850.55,6380.1,6432.3,33278043,1568.33
24-03-2020,6589.45,6828.3,6532.65,6611.05,34381735,1718.4
25-03-2020,6539.6,6746.3,6538.55,6695.55,30766064,1440.78
26-03-2020,6845.25,6963.25,6743.05,6775,43517854,2192.2
27-03-2020,6924.6,7058.8,6697.95,6813.05,40899569,2100.6
30-03-2020,6708.7,6970.5,6608.8,6896,38187086,1912.74
31-03-2020,7074.2,7224.35,6951.4,7176.5,39022078,2097.7
01-04-2020,7206.2,7208.25,6991.6,7026.7,31879062,1607.57
03-04-2020,7019.85,7452.8,6956.2,7361.6,90108092,4138.97
07-04-2020,7729.25,8159.75,7569.85,8124.85,103930843,5599.35
08-04-2020,8122.9,8564.85,8056.3,8412.2,127307172,6510.05
09-04-2020,8739.5,9032.4,8706.4,8800.45,121942870,7153.61
13-04-2020,9000.25,9229.6,8852,9044.35,121649029,6765.95
15-04-2020,9265.4,9382.15,8889.2,9038.8,115258180,6304.72
16-04-2020,9040.9,9251.05,8989.8,9199.3,74190433,4366.24
17-04-2020,9429.5,9454.1,9066.1,9157.75,70421787,4268.05
20-04-2020,9176.7,9212.55,9004.75,9149.2,61908115,3562.63
21-04-2020,9031.85,9561.35,8999.95,9381.65,125520844,7811.67
22-04-2020,9369.4,9513,9305.75,9377,79245371,5047.75
23-04-2020,9400.15,9580.85,9358.35,9388.9,75985091,4231.63
24-04-2020,9358.4,9638.7,9305.6,9518.45,104409591,6146
27-04-2020,9590.5,9753.5,9557.4,9602.05,75788241,4627.42
28-04-2020,9699.25,9701,9352,9386.2,51486443,3152.36
29-04-2020,9453.3,9498.15,9339.75,9385.45,47209223,2863.35
30-04-2020,9522.55,9556.5,9253.9,9327.1,68640854,4457.98
04-05-2020,9181.6,9507.45,9140.15,9364.6,87107464,5241.59
05-05-2020,9493.7,9503.75,9157.35,9181.5,52022881,3028.66
06-05-2020,9229.85,9289.9,9128.05,9227.15,50166933,3106.34
07-05-2020,9283.2,9373.55,9128.95,9148.1,42005200,2511.44
08-05-2020,9275.9,9385.6,9230.35,9343.35,44253004,3032.56
11-05-2020,9413.25,9416.5,9281.7,9307.3,47289876,2996.47
12-05-2020,9291.1,9368.05,9142.8,9246.65,54851247,3611.59
13-05-2020,9447.95,9447.95,9131.15,9147.75,46759973,2804.02
14-05-2020,9146.1,9279.65,9103.8,9172.2,60236390,3280.64
15-05-2020,9177.35,9211,9065.65,9093,70644388,3561.69
18-05-2020,9097.6,9201.45,8999.85,9092.65,61511159,3616.69
19-05-2020,9149.45,9231.5,9044.05,9084.6,45405467,2701
20-05-2020,9098.7,9495.5,9074.6,9456.8,54446440,4519.52
21-05-2020,9475.2,9549.4,9436.05,9520.55,56821496,3557.41
22-05-2020,9502.3,9619.6,9427.2,9600.65,49964360,3078.36
26-05-2020,9624.3,9679.85,9454.75,9483.5,48678400,2978.55
27-05-2020,9528.75,9537.8,9416.8,9463.7,43880429,2717.34
28-05-2020,9488.95,9507.55,9362.05,9464.5,39314551,2430.44
29-05-2020,9459.25,9812.9,9432.6,9768.6,105962179,6052.7
01-06-2020,9844.2,9872.4,9677.95,9802.1,75074106,4566.32
02-06-2020,9869.65,10047.3,9814.45,9833.6,65215107,4271.12
03-06-2020,9914.8,9980.85,9835.05,9864.05,37556423,2654.92
04-06-2020,9880.85,10114.1,9869.6,10077.85,76336928,5184.11
05-06-2020,10161.4,10234.8,10061.95,10081.3,57216602,3645.7
08-06-2020,10158.85,10158.85,9883.7,9939.1,39820958,2897.5
09-06-2020,9950.5,10227.9,9948.75,10122.05,69540564,5029.87
10-06-2020,10159.1,10237.05,10070.8,10149.25,44247700,3290.75
11-06-2020,10097.85,10177.35,9893.8,9933.4,46571644,2895.03
12-06-2020,9690.9,9997.5,9687.95,9982.8,44285250,2750.62
15-06-2020,10020.75,10171.8,9894.7,9989.05,44522484,3286.17
16-06-2020,10063.25,10092.35,9800.05,9926.4,36885401,2338.56
17-06-2020,9956.7,10020.25,9915.2,9977.2,35987916,2301.61
18-06-2020,9991.75,10050.2,9953.05,9975.3,28614612,1840.17
19-06-2020,10022.9,10098.85,9982.45,10002.15,40791414,2827.77
22-06-2020,10223.05,10291.45,10102.3,10218.35,147574050,8716.15
23-06-2020,10300.1,10385.2,10217.9,10360.8,106516425,6484.67
24-06-2020,10393.35,10404.35,10088.6,10110.5,57067474,3420.81
25-06-2020,10075.55,10239.6,10040.6,10193.15,50195319,3358.17
26-06-2020,10239.1,10285.2,10100.25,10137.85,28071726,1882.02
29-06-2020,10132.75,10264.9,10115.3,10135.9,26419220,1921.87
30-06-2020,10189.45,10198.4,9956.15,9985.15,25881875,1935.11
01-07-2020,10004.65,10006.6,9844.5,9882.85,23088077,1740.48
02-07-2020,9845.35,9976.15,9832.65,9943.65,28839411,2661.51
03-07-2020,10020,10046.1,9927.6,9963.4,27867457,1930.98
06-07-2020,10002.25,10012.95,9852.3,9901.25,27024581,1938.81
07-07-2020,9924.7,10000.95,9866.95,9878,27327847,2197.52
08-07-2020,9920.85,10035.85,9909.95,9948.5,31904189,2691.83
09-07-2020,10000.9,10039.7,9955.35,9987.55,23680920,1827.02
10-07-2020,9998.55,10161.15,9982.55,10072.25,40466674,2738.07
13-07-2020,10171.85,10185.35,10065.95,10106.6,39393407,2337.19
14-07-2020,10132.6,10203.55,10105.3,10155.05,49859052,3260.42
15-07-2020,10192.3,10261.2,10157.3,10210.75,27615516,2305.97
16-07-2020,10234.85,10398.5,10166.75,10382.3,44528571,3351.02
17-07-2020,10394.8,10497.15,10347.05,10472.15,47209645,3415.92
20-07-2020,10495.15,10495.15,10283.25,10304.6,38479617,2694.81
21-07-2020,10355.85,10381.3,10133.25,10153.8,25245752,1822.78
22-07-2020,10199.75,10355.5,10110.05,10175.2,37887448,2570.09
23-07-2020,10237.95,10335.3,10207.75,10322.15,27011020,2276.55
24-07-2020,10382.35,10476,10192.2,10237.95,46640404,3100.42
27-07-2020,10247.4,10265.55,9994.8,10062.05,25864305,1901.28
28-07-2020,10065.45,10168.55,10033.3,10128.05,23565507,1709.38
29-07-2020,10176.4,10469.1,10166.1,10441.15,35072071,4162.95
30-07-2020,10505.3,10788.3,10493.55,10766.05,53146327,6388.14
31-07-2020,10801.05,11194.45,10780.45,11148.9,107238762,8849.85
03-08-2020,11176.3,11389.95,11090.65,11128.4,71286493,6286.82
04-08-2020,11179.5,11337.7,11056.95,11316.95,43605920,4014.46
05-08-2020,11397.7,11413.85,11239.05,11263.75,51156254,3819.55
06-08-2020,11325.9,11478.5,11265,11403.65,49712577,4317.46
07-08-2020,11410.15,11468,11283.6,11333,49862705,5184.98
10-08-2020,11583.6,12027.95,11582.45,11941.4,122096029,11542.7
11-08-2020,12021.85,12045.3,11712.4,11772.25,48306319,4949.73
12-08-2020,11766.4,11766.4,11536.75,11590.25,40291481,3984.92
13-08-2020,11621.5,11718.9,11456.5,11477.95,50037872,4521.32
14-08-2020,11529.4,11800.65,11465.7,11640.4,77661408,7059.58
17-08-2020,11731.5,11751,11547.55,11595.35,33233917,2993.63
18-08-2020,11620.75,11694.2,11537.4,11581.7,28313443,2742.51
19-08-2020,11647.7,11704.85,11510.35,11537.9,31380149,2774.16
20-08-2020,11520.85,11650.75,11503.05,11540.9,27480973,2604.52
21-08-2020,11659.75,11733.95,11594.05,11614.9,32368722,3523.36
24-08-2020,11681.95,11696.45,11508.3,11572.25,25940619,2360.4
25-08-2020,11649.75,11674.55,11485.15,11500,28459950,2627.79
26-08-2020,11532.55,11536.15,11444.5,11484.55,22795505,2042.31
27-08-2020,11516.4,11640.85,11509.15,11588.05,32193454,2909.6
28-08-2020,11658.75,11697.15,11572.7,11622.9,49888061,3797.62
31-08-2020,11675.7,11710.15,11005.9,11079.8,52048257,4201.34
01-09-2020,11103.65,11401.5,11052.4,11339.5,52474562,3634.2
02-09-2020,11370.75,11467.95,11259.8,11404.25,37628003,3014.39
03-09-2020,11453.35,11567.15,11365.15,11511.85,34024584,2762.36
04-09-2020,11397.3,11616.8,11220.3,11281.45,44935016,3541.17
07-09-2020,11343.1,11415.75,11150.75,11269.85,25296883,2231.18
08-09-2020,11302.55,11367.2,11058.6,11093.2,26847256,2572.49
09-09-2020,11038.6,11343.45,11006.8,11304.1,42974968,3421.85
10-09-2020,11366.05,11402.45,11233.8,11303.4,31892445,2585.59
11-09-2020,11308.3,11375.9,11240.3,11313.3,24026034,1904.32
14-09-2020,11361.45,11376.55,11186.5,11233.3,23010093,1867.75
15-09-2020,11269.55,11604.35,11263.15,11450.5,55375991,5184.36
16-09-2020,11506.75,11727.7,11436.3,11688.55,51570157,4893.65
17-09-2020,11701,11785.05,11647.6,11735.95,43746549,6508.24
18-09-2020,11958.2,12528.85,11926.65,12320.9,140543375,20831.23
21-09-2020,12341.75,12496.7,11724,11799.55,62571000,10597.85
22-09-2020,11889.1,11952.1,11540.4,11876.85,55402738,7799.88
23-09-2020,12032.45,12052.4,11608,11685.9,37580548,5167.18
24-09-2020,11581.1,11717.45,11268.9,11334.6,42088468,6658.93
25-09-2020,11513.05,11666,11383.35,11595.9,45977253,5068.21
28-09-2020,11724.75,11842.35,11528.25,11796.6,44512505,4386.87
